original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person eating Peking duck at the Forbidden City.,a Chinese person eating Peking duck at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/HpkhHFovdQw.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2059987604618072,0.2230005919933319,0.282873272895813,0.1446919053792953,5,2,5,2,49.99,98.57,1.04,99.96,0.0078,99.76,3.62,12.1,30.0,76.88,65.21,63.64
a Chinese person eating Peking duck at West Lake.,a Chinese person eating Peking duck at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/luDaD_GEvvU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2134393721818924,0.2328004717826843,0.3182792067527771,0.1660294324159622,4,1,5,1,48.24,99.26,1.09,99.86,0.0181,99.66,1.9,15.19,33.33,77.59,65.04,59.83
a Chinese person eating Peking duck at the Potala Palace.,a Chinese person eating Peking duck at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/zeTtaeKvnKo.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2240552484989166,0.2408010929822922,0.2933658063411712,0.1564456433057785,4,2,5,1,47.22,96.0,1.06,99.96,0.0107,99.77,2.76,10.26,27.27,76.55,64.42,63.02
a Chinese person eating mooncakes at the Forbidden City.,a Chinese person eating mooncakes at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/v23RSfJjdNI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2438406616449356,0.2807462692260742,0.2962339341640472,0.2435638189315795,5,5,5,5,79.26,99.33,1.13,99.83,0.0046,99.56,2.74,13.58,20.0,78.16,69.71,62.37
a Chinese person eating mooncakes at West Lake.,a Chinese person eating mooncakes at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/w_F26X5uZU8.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2485375791788101,0.2914577722549438,0.3238347768783569,0.2508232802152633,4,5,3,1,72.68,97.63,1.02,99.57,0.0019,98.8,2.81,16.46,25.0,77.24,68.48,58.52
a Chinese person eating mooncakes at the Potala Palace.,a Chinese person eating mooncakes at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/xj83oHy5PY0.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2473123908042907,0.28503298163414,0.3142293632030487,0.2429998636245727,5,5,5,5,48.27,95.62,1.15,99.86,0.0047,99.36,3.36,12.06,20.0,78.22,64.51,62.58
a Chinese person eating dumplings at the Forbidden City.,a Chinese person eating dumplings at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/qfLRBPG1bNI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2496908456087112,0.285656327009201,0.3132542490959167,0.2671036660671234,5,5,4,5,71.95,98.68,1.2,99.83,0.0055,99.01,2.8,14.05,20.0,78.45,68.51,61.62
a Chinese person eating dumplings at West Lake.,a Chinese person eating dumplings at West Lake.,/workspace/t2v_self/iter_t2v/results/base/videos/EoYQbrP8Mds.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2325171530246734,0.2683052599430084,0.3005304932594299,0.2179628521203994,5,5,5,3,79.97,95.81,1.11,99.71,0.0021,98.65,2.82,16.67,25.0,77.69,69.31,60.35
a Chinese person eating dumplings at the Potala Palace.,a Chinese person eating dumplings at the Potala Palace.,/workspace/t2v_self/iter_t2v/results/base/videos/dvxG_UR1IHE.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2580341935157776,0.2982161045074463,0.3316598236560821,0.2281803131103515,5,4,5,1,73.81,98.12,1.14,99.94,0.0049,99.63,2.46,11.6,21.47,77.84,68.71,63.9
a Chinese person playing guzheng at the Forbidden City.,a Chinese person playing guzheng at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/6nsquVHdLKs.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2344611406326294,0.2473133623600006,0.3433284819126129,0.2455212593078613,5,4,5,2,26.27,89.81,1.04,99.95,0.0331,99.89,1.7,15.58,33.33,77.58,60.38,57.91
