original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,base_vs_single_avg,v_base_to_overall_cultural_relevance_avg_avg,v_base_to_person_cultural_relevance_avg_avg,v_base_to_action_cultural_relevance_avg_avg,v_base_to_location_cultural_relevance_avg_avg,v_base_to_original_prompt_avg_avg,v_base_to_final_prompt_avg_avg,v_var_to_overall_cultural_relevance_avg_avg,v_var_to_person_cultural_relevance_avg_avg,v_var_to_action_cultural_relevance_avg_avg,v_var_to_location_cultural_relevance_avg_avg,v_var_to_original_prompt_avg_avg,v_var_to_final_prompt_avg_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,vlm_visual_similarity_score,vlm_v_base_overall_score,vlm_v_base_person_score,vlm_v_base_action_score,vlm_v_base_location_score,vlm_v_base_original_prompt_score,vlm_v_base_final_prompt_score,vlm_v_var_overall_score,vlm_v_var_person_score,vlm_v_var_action_score,vlm_v_var_location_score,vlm_v_var_original_prompt_score,vlm_v_var_final_prompt_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person eating Peking duck at the Forbidden City.,"A middle-aged Chinese man with a round face, wispy black hair combed back, and a gentle smile, dressed in a traditional silk changshan with intricate golden embroidery, sits with perfect posture at a wooden table adorned with ornate carvings, carefully wrapping a slice of crispy Peking duck in a thin pancake with scallions and hoisin sauce, his hands moving deftly as he gazes out at the majestic Meridian Gate of the Forbidden City, its crimson walls glowing warmly in the soft afternoon sunlight filtering through the misty Beijing sky.",/workspace/t2v_self/iter_t2v/results/single/videos/fXBm1MftJm4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2587716162204742,0.2733809649944305,0.3198469579219818,0.2481820315122604,0.5979663968086243,0.2059987604618072,0.2230005919933319,0.282873272895813,0.1446919053792953,0.2572302997112274,0.2173636853694915,0.2587716162204742,0.2733809649944305,0.3198469579219818,0.2481820315122604,0.3285359382629395,0.321969336271286,5,5,5,5,2,4,2,5,1,1,1,5,5,5,5,5,5,13.96,97.54,1.14,99.93,0.0084,99.72,1.31,16.02,0.24,78.3,59.64,63.08
a Chinese person eating Peking duck at West Lake.,"A middle-aged Chinese man with a rounded face, wispy black hair combed back, and wearing a traditional silk changshan in navy blue, sits hunched over a wooden table on the banks of West Lake, his chopsticks delicately tearing into a crispy-skinned Peking duck served on a intricately patterned ceramic plate, as the warm glow of lanterns reflected off the calm lake waters casts a serene ambiance around him.",/workspace/t2v_self/iter_t2v/results/single/videos/QP_K4c9TYn8.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2448584675788879,0.2719394862651825,0.3068680584430694,0.1951705366373062,0.6661742210388184,0.2134393721818924,0.2328004717826843,0.3182792067527771,0.1660294324159622,0.2915061235427856,0.1991006150841713,0.2448584675788879,0.2719394862651825,0.3068680584430694,0.1951705366373062,0.2770431578159332,0.3092107027769089,4,5,4,2,2,4,1,5,1,2,1,5,5,4,2,3,4,42.31,97.08,1.08,99.81,0.0052,99.24,2.8,17.79,0.31,77.65,63.84,61.65
a Chinese person eating Peking duck at the Potala Palace.,"A middle-aged Chinese man with a round face, high cheekbones, and a wispy mustache sits cross-legged on a intricately patterned Tibetan rug, wearing a traditional changshan with intricate silk embroidery, as he delicately wraps a slice of crispy Peking duck in a thin pancake with scallions and hoisin sauce, his hands moving deftly as he takes a bite, savoring the flavors amidst the majestic backdrop of the Potala Palace's whitewashed walls and golden roofs, set against the breathtaking Himalayan landscape at sunset.",/workspace/t2v_self/iter_t2v/results/single/videos/Zsubo1cnmDM.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2556723594665527,0.2717025279998779,0.3117887198925018,0.2610643446445465,0.634971272945404,0.2240552484989166,0.2408010929822922,0.2933658063411712,0.1564456433057785,0.2986362040042877,0.2411102876067161,0.2556723594665527,0.2717025279998779,0.3117887198925018,0.2610643446445465,0.3334205567836761,0.3357653796672821,5,4,3,5,1,1,1,1,1,1,1,5,4,2,5,3,3,56.49,96.32,1.28,99.96,0.0035,99.8,1.43,17.6,0.17,78.45,65.84,64.67
a Chinese person eating mooncakes at the Forbidden City.,"A middle-aged Chinese woman with a round face, high cheekbones, and a sleek bob, dressed in a traditional cheongsam with intricate floral patterns, sits on a stone bench under the shade of a majestic cypress tree within the Forbidden City's Imperial Garden. She delicately unwraps a golden-brown mooncake from its red paper wrapper, revealing the delicate lotus seed paste filling, and takes a small bite, savoring the sweet and nutty flavors as she gazes up at the crimson walls of the palace.",/workspace/t2v_self/iter_t2v/results/single/videos/kSwIqZxd74M.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2689234137535095,0.3133630096912384,0.3041348159313202,0.2725379407405853,0.7561787605285645,0.2438406616449356,0.2807462692260742,0.2962339341640472,0.2435638189315795,0.3150938212871551,0.2515253692865372,0.2689234137535095,0.3133630096912384,0.3041348159313202,0.2725379407405853,0.33660808801651,0.34366115629673,5,5,2,5,3,5,5,2,4,3,1,5,5,5,5,5,3,80.3,99.16,1.23,99.96,0.006,99.76,0.59,17.09,0.27,76.8,69.83,64.1
a Chinese person eating mooncakes at West Lake.,"A middle-aged Chinese woman with a round face, high cheekbones, and a sleek bob, wearing a traditional qipao dress in shades of crimson and gold, sits on a weathered stone bench at West Lake's Bai Causeway, delicately unwrapping the golden foil from a mooncake and taking a dainty bite as she gazes out at the serene lake waters dotted with lotus flowers under the warm glow of lanterns.",/workspace/t2v_self/iter_t2v/results/single/videos/s5mKv4Usmnk.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2527384400367737,0.2762790977954864,0.2970252394676208,0.2825223088264465,0.6587190747261047,0.2485375791788101,0.2914577722549438,0.3238347768783569,0.2508232802152633,0.3449911117553711,0.2821556732058525,0.2527384400367737,0.2762790977954864,0.2970252394676208,0.2825223088264465,0.3433336317539215,0.3633192032575607,5,5,4,5,1,3,4,3,1,2,1,5,5,5,5,5,2,83.38,99.57,1.15,99.98,0.0047,99.49,0.95,15.47,1.21,77.83,70.36,64.48
a Chinese person eating mooncakes at the Potala Palace.,"A middle-aged Chinese woman with a round face, high cheekbones, and a short bob haircut, dressed in a traditional qipao with intricate floral patterns, sits cross-legged on a stone bench at the Potala Palace, carefully unwrapping a delicate, golden-brown mooncake from its red paper packaging, revealing the sweet, lotus-seed paste filling, as she takes a small bite, her eyes closed in appreciation of the flavors and the majestic backdrop of the palace's white walls and golden roofs, set against the vibrant blue sky of Lhasa.",/workspace/t2v_self/iter_t2v/results/single/videos/eQ5Ar72uToA.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.258116739988327,0.2950639307498932,0.3245842576026916,0.2989527225494385,0.7723730564117431,0.2473123908042907,0.28503298163414,0.3142293632030487,0.2429998636245727,0.3640810310840606,0.2950408697128296,0.258116739988327,0.2950639307498932,0.3245842576026916,0.2989527225494385,0.3869105100631714,0.3646519273519516,5,5,5,5,2,5,5,3,5,4,1,5,5,5,5,5,4,5.92,90.93,1.19,99.95,0.0111,99.53,0.94,16.02,0.17,78.23,57.47,62.65
a Chinese person eating dumplings at the Forbidden City.,"A middle-aged Chinese woman with a round face, high cheekbones, and a short, stylish bob, dressed in a traditional qipao with intricate floral patterns, sits on a stone bench in the shade of a towering cypress tree within the Forbidden City's Imperial Garden. She delicately holds a steaming bamboo basket filled with jiaozi dumplings, carefully dipping one into a small dish of soy sauce and vinegar before bringing it to her lips.",/workspace/t2v_self/iter_t2v/results/single/videos/Wv_s17E2WqM.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2448122769594192,0.298546952009201,0.3291007876396179,0.2009199887514114,0.736944854259491,0.2496908456087112,0.285656327009201,0.3132542490959167,0.2671036660671234,0.3643459439277648,0.259097184240818,0.2448122769594192,0.298546952009201,0.3291007876396179,0.2009199887514114,0.3127941787242889,0.3569385915994644,5,5,5,2,2,5,5,4,5,5,1,5,5,5,2,2,1,85.53,99.18,1.11,99.95,0.0073,99.31,1.48,16.11,0.14,77.19,70.63,63.33
a Chinese person eating dumplings at West Lake.,"A middle-aged Chinese woman with a round face, high cheekbones, and a short bob haircut, dressed in a traditional qipao with intricate floral patterns, sits on a stone bench overlooking the serene waters of West Lake, delicately picking up a steamed dumpling with chopsticks from a bamboo basket beside her.",/workspace/t2v_self/iter_t2v/results/single/videos/5BzgHzQ_kZQ.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2434699714183807,0.2916338324546814,0.3156996428966522,0.2357719540596008,0.7779380202293396,0.2325171530246734,0.2683052599430084,0.3005304932594299,0.2179628521203994,0.3109077334403992,0.2417536646127701,0.2434699714183807,0.2916338324546814,0.3156996428966522,0.2357719540596008,0.319495141506195,0.3292511940002441,5,5,5,4,3,5,5,5,2,3,1,4,5,5,2,3,3,75.4,98.64,1.31,99.76,0.0057,99.17,2.32,14.31,1.76,77.11,69.02,60.79
a Chinese person eating dumplings at the Potala Palace.,"A Tibetan-Chinese woman with a warm smile and rosy cheeks, wearing a vibrant pink qipao with golden embroidery, sits cross-legged on a stone step of the Potala Palace's White Palace, delicately wrapping her fingers around a steaming bamboo basket filled with juicy jiaozi, as she takes a bite of the tender dumpling wrapper and savors the flavorful pork filling.",/workspace/t2v_self/iter_t2v/results/single/videos/tqXZGqmMThY.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2442806988954544,0.2784116148948669,0.3357917487621307,0.1931788265705108,0.6721650242805481,0.2580341935157776,0.2982161045074463,0.3316598236560821,0.2281803131103515,0.3710414588451385,0.3116780966520309,0.2442806988954544,0.2784116148948669,0.3357917487621307,0.1931788265705108,0.3208608090877533,0.3156091451644897,5,5,5,1,4,4,4,3,1,1,1,4,5,5,1,2,1,82.66,99.37,1.06,99.93,0.0065,99.37,1.83,16.09,2.13,76.81,70.23,63.19
a Chinese person playing guzheng at the Forbidden City.,"A young Chinese woman with long, dark hair styled in a traditional bun and adorned with a golden phoenix pin, wearing a elegant cheongsam dress with intricate silk embroidery, sits cross-legged on a intricately carved wooden stool at the Forbidden City's Imperial Ancestral Temple, her slender fingers deftly plucking the strings of an ancient guzheng as the warm sunlight casts a golden glow through the temple's ornate wooden latticework.",/workspace/t2v_self/iter_t2v/results/single/videos/L6yRqO3ztaw.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2436613380908966,0.2656283438205719,0.3329248070716858,0.2409360349178314,0.7545122742652893,0.2344611406326294,0.2473133623600006,0.3433284819126129,0.2455212593078613,0.380604887008667,0.3227464705705642,0.2436613380908966,0.2656283438205719,0.3329248070716858,0.2409360349178314,0.3510012745857239,0.3535157918930053,5,5,5,3,3,5,4,5,2,3,1,5,5,5,3,3,2,16.16,95.6,1.1,99.93,0.008,99.39,1.93,16.36,0.16,79.04,59.69,62.93
