original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,base_vs_sequential_avg,v_base_to_overall_cultural_relevance_avg_avg,v_base_to_person_cultural_relevance_avg_avg,v_base_to_action_cultural_relevance_avg_avg,v_base_to_location_cultural_relevance_avg_avg,v_base_to_original_prompt_avg_avg,v_base_to_final_prompt_avg_avg,v_var_to_overall_cultural_relevance_avg_avg,v_var_to_person_cultural_relevance_avg_avg,v_var_to_action_cultural_relevance_avg_avg,v_var_to_location_cultural_relevance_avg_avg,v_var_to_original_prompt_avg_avg,v_var_to_final_prompt_avg_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,vlm_visual_similarity_score,vlm_v_base_overall_score,vlm_v_base_person_score,vlm_v_base_action_score,vlm_v_base_location_score,vlm_v_base_original_prompt_score,vlm_v_base_final_prompt_score,vlm_v_var_overall_score,vlm_v_var_person_score,vlm_v_var_action_score,vlm_v_var_location_score,vlm_v_var_original_prompt_score,vlm_v_var_final_prompt_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person eating Peking duck at the Forbidden City.,"A Chinese person with almond-shaped eyes, high cheekbones, and straight black hair styled in a sleek bob, wearing a traditional qipao dress, delicately wrapping a slice of Peking duck in a thin pancake with chopsticks held vertically between their thumb and index finger, standing in the grand courtyard of the Forbidden City, surrounded by majestic red walls adorned with golden dragons and glazed tile roofs that shimmer under the warm sunlight casting a gentle glow on the ancient stone pavement.",/workspace/t2v_self/iter_t2v/results/sequential/videos/a-o6fgntR_A.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.260546863079071,0.2937267899513244,0.2823661923408508,0.2614483088254928,0.5229071199893951,0.2059987604618072,0.2230005919933319,0.282873272895813,0.1446919053792953,0.2572302997112274,0.2035174280405044,0.260546863079071,0.2937267899513244,0.2823661923408508,0.2614483088254928,0.3067500650882721,0.3531701534986496,5,5,5,5,2,4,1,5,2,2,1,5,5,4,5,4,2,60.48,98.9,1.25,99.9,0.0056,98.6,1.33,20.18,0.07,78.31,66.82,62.27
a Chinese person eating Peking duck at West Lake.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, delicately wrapping a slice of crispy Peking duck in a thin pancake with scallions and hoisin sauce, using chopsticks to hold the pancake in place while taking a dainty bite at West Lake, surrounded by lush weeping willows, vibrant lotus flowers, and majestic pagodas reflected in the serene lake waters under the warm glow of sunset.",/workspace/t2v_self/iter_t2v/results/sequential/videos/ODNljj_ePCY.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2552032709121704,0.2907201647758484,0.2964721083641052,0.2401031076908111,0.5861198425292968,0.2134393721818924,0.2328004717826843,0.3182792067527771,0.1660294324159622,0.2915061235427856,0.2633629634976387,0.2552032709121704,0.2907201647758484,0.2964721083641052,0.2401031076908111,0.2874618113040924,0.3071692556142807,5,5,5,5,2,3,1,5,1,1,1,5,5,4,5,5,4,84.99,99.04,1.16,99.89,0.0063,99.26,3.04,16.98,0.19,77.32,70.52,62.59
a Chinese person eating Peking duck at the Potala Palace.,"A Chinese person with a round face, high cheekbones, and straight black hair in a neat bob, wearing a traditional qipao dress, sits upright with hands together in front of her, delicately using chopsticks to pick up tender slices of Peking duck from the steamer basket and placing them onto a small pancake, which she then wraps around scallions, hoisin sauce, and crispy skin, before taking a dainty bite at the foot of the majestic Potala Palace, with its whitewashed walls and red roofs rising dramatically into the crisp blue sky of Lhasa, Tibet.",/workspace/t2v_self/iter_t2v/results/sequential/videos/aL4Br0xYPds.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2563875138759613,0.2968836724758148,0.3198566794395446,0.2851805806159973,0.6596801519393921,0.2240552484989166,0.2408010929822922,0.2933658063411712,0.1564456433057785,0.2986362040042877,0.2484275221824646,0.2563875138759613,0.2968836724758148,0.3198566794395446,0.2851805806159973,0.3717220246791839,0.3307022362947464,5,5,1,5,1,1,1,1,1,1,1,5,4,1,5,2,1,40.72,96.72,1.18,99.91,0.0096,99.24,1.47,17.91,0.03,78.56,63.54,62.18
a Chinese person eating mooncakes at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, delicately picking up a mooncake with chopsticks and taking small, dainty bites while sitting elegantly on a stone bench beneath the majestic Meridian Gate, surrounded by crimson walls adorned with golden dragon motifs and overlooking the tranquil moat of the Forbidden City.",/workspace/t2v_self/iter_t2v/results/sequential/videos/OiK93sCH7i4.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2658726155757904,0.3044876754283905,0.3303274273872375,0.26639444231987,0.8209454894065857,0.2438406616449356,0.2807462692260742,0.2962339341640472,0.2435638189315795,0.3150938212871551,0.2674850046634674,0.2658726155757904,0.3044876754283905,0.3303274273872375,0.26639444231987,0.3654928505420685,0.352856433391571,5,5,3,5,1,5,5,2,5,3,1,5,5,3,5,4,1,66.56,99.08,1.19,99.89,0.0057,99.0,1.22,17.14,0.27,77.13,67.76,62.45
a Chinese person eating mooncakes at West Lake.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, delicately picking up a mooncake with chopsticks and taking small bites while seated on a stone bench at West Lake, surrounded by lush willow trees, vibrant lotus flowers, and the distant silhouette of Lei Feng Pagoda reflected in the serene lake waters.",/workspace/t2v_self/iter_t2v/results/sequential/videos/UK0IGYJpQbM.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2575710535049438,0.2880614459514617,0.2962415635585785,0.2760064721107483,0.6821230411529541,0.2485375791788101,0.2914577722549438,0.3238347768783569,0.2508232802152633,0.3449911117553711,0.3063744246959686,0.2575710535049438,0.2880614459514617,0.2962415635585785,0.2760064721107483,0.3130747020244598,0.3657936692237854,5,5,5,5,2,2,4,3,1,1,1,5,5,5,4,4,2,79.06,99.1,1.12,99.94,0.0034,99.52,0.53,16.82,0.98,78.54,69.64,64.16
a Chinese person eating mooncakes at the Potala Palace.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, delicately picking up a mooncake with chopsticks and taking small bites while sitting cross-legged on the stone steps of the Potala Palace, surrounded by towering walls adorned with crimson prayer flags fluttering in the wind, beneath the majestic backdrop of the Himalayan mountains with the golden roofs of the palace glistening in the sunlight.",/workspace/t2v_self/iter_t2v/results/sequential/videos/JqEMehRZnvU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2350549578666687,0.2664857685565948,0.2701637029647827,0.2660517513751984,0.7125092029571534,0.2473123908042907,0.28503298163414,0.3142293632030487,0.2429998636245727,0.3640810310840606,0.2813817024230957,0.2350549578666687,0.2664857685565948,0.2701637029647827,0.2660517513751984,0.3218488991260528,0.3139065891504288,5,5,2,5,3,4,4,3,5,4,1,5,4,2,5,3,2,42.59,98.49,1.04,99.99,0.0012,99.73,0.23,16.89,0.5,80.81,64.08,65.56
a Chinese person eating dumplings at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, delicately picking up a steamed dumpling with chopsticks and dipping it into a small dish of soy sauce before taking a bite in front of the majestic Meridian Gate, surrounded by the crimson walls and golden tiled roofs of the Forbidden City, with the warm glow of sunset casting a gentle light on the scene.",/workspace/t2v_self/iter_t2v/results/sequential/videos/PLq3jNQOnMw.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2461470961570739,0.2758104562759399,0.3024335741996765,0.25397869348526,0.7786390066146851,0.2496908456087112,0.285656327009201,0.3132542490959167,0.2671036660671234,0.3643459439277648,0.2986416608095169,0.2461470961570739,0.2758104562759399,0.3024335741996765,0.25397869348526,0.3021769285202026,0.336819389462471,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,3,77.31,99.11,1.17,99.85,0.0032,99.07,0.83,17.09,0.1,79.32,69.38,62.56
a Chinese person eating dumplings at West Lake.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional qipao dress, sits with an upright posture and holds chopsticks in her right hand, delicately picking up steamed dumplings from a bamboo steamer basket on the banks of West Lake, surrounded by lush green willows, vibrant lotus flowers, and majestic pagodas reflected in the serene waters under the warm glow of sunset.",/workspace/t2v_self/iter_t2v/results/sequential/videos/R0ZGUGVocEU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2399260699748993,0.2688080072402954,0.284248024225235,0.2153740018606185,0.6730079412460327,0.2325171530246734,0.2683052599430084,0.3005304932594299,0.2179628521203994,0.3109077334403992,0.2174367651343345,0.2399260699748993,0.2688080072402954,0.284248024225235,0.2153740018606185,0.2516216069459915,0.3482313305139541,5,5,5,5,1,4,5,3,2,2,1,5,5,5,5,5,5,54.24,98.15,1.13,99.91,0.0063,99.5,1.23,15.58,1.43,77.48,65.78,63.06
a Chinese person eating dumplings at the Potala Palace.,"A Chinese person with almond-shaped eyes, high cheekbones, and straight black hair in a neat bob, wearing a traditional qipao dress, sits upright with hands delicately cradling a steamer basket, using chopsticks to pick up a steamed dumpling and dip it into a small dish of soy sauce before taking a bite, on the sun-drenched steps of the Potala Palace, surrounded by its majestic white walls adorned with colorful prayer flags fluttering gently in the breeze.",/workspace/t2v_self/iter_t2v/results/sequential/videos/KkXL9FIQPhI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2403596967458725,0.2817506015300751,0.3125112533569336,0.2571920692920685,0.7768139243125916,0.2580341935157776,0.2982161045074463,0.3316598236560821,0.2281803131103515,0.3710414588451385,0.2653488978743553,0.2403596967458725,0.2817506015300751,0.3125112533569336,0.2571920692920685,0.3418302536010742,0.3141672432422638,5,5,5,5,3,5,5,4,1,1,1,4,4,5,5,5,2,59.59,97.55,1.09,99.91,0.005,99.22,1.74,19.06,0.05,80.01,66.5,63.19
a Chinese person playing guzheng at the Forbidden City.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and adorned with jade earrings sits upright with her back straight, her fingers deftly plucking the strings of the guzheng with her right hand while her left hand presses the strings against the instrument's surface to produce subtle tonal variations on the marble steps of the Gate of Supreme Harmony, surrounded by the majestic vermilion walls and golden tiled roofs of the Forbidden City under the warm glow of a setting sun.",/workspace/t2v_self/iter_t2v/results/sequential/videos/eIxWFrTSsw0.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2607328653335571,0.2828085064888,0.3061550617218017,0.2823180556297302,0.7362206935882568,0.2344611406326294,0.2473133623600006,0.3433284819126129,0.2455212593078613,0.380604887008667,0.3596961289644241,0.2607328653335571,0.2828085064888,0.3061550617218017,0.2823180556297302,0.3545581817626953,0.3693958222866058,5,5,5,5,3,4,4,5,2,2,1,5,5,5,5,5,5,16.12,97.91,1.1,99.91,0.0077,98.99,0.86,19.8,0.5,80.38,60.02,62.34
