original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,base_vs_parallel_avg,v_base_to_overall_cultural_relevance_avg_avg,v_base_to_person_cultural_relevance_avg_avg,v_base_to_action_cultural_relevance_avg_avg,v_base_to_location_cultural_relevance_avg_avg,v_base_to_original_prompt_avg_avg,v_base_to_final_prompt_avg_avg,v_var_to_overall_cultural_relevance_avg_avg,v_var_to_person_cultural_relevance_avg_avg,v_var_to_action_cultural_relevance_avg_avg,v_var_to_location_cultural_relevance_avg_avg,v_var_to_original_prompt_avg_avg,v_var_to_final_prompt_avg_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,vlm_visual_similarity_score,vlm_v_base_overall_score,vlm_v_base_person_score,vlm_v_base_action_score,vlm_v_base_location_score,vlm_v_base_original_prompt_score,vlm_v_base_final_prompt_score,vlm_v_var_overall_score,vlm_v_var_person_score,vlm_v_var_action_score,vlm_v_var_location_score,vlm_v_var_original_prompt_score,vlm_v_var_final_prompt_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person eating Peking duck at the Forbidden City.,"A Chinese person with almond-shaped eyes, high cheekbones, and straight black hair styled in a sleek bob, wearing a traditional cheongsam dress, sits upright with hands together in a slight bow at the Forbidden City, delicately wraps a slice of crispy Peking duck in a thin pancake with scallions and hoisin sauce using chopsticks, and takes a bite while gazing out at the majestic architecture under the crimson walls and golden tiled roofs, surrounded by moats and traditional Chinese lanterns.",/workspace/t2v_self/iter_t2v/results/parallel/videos/ALVNorqPPGU.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2526744544506073,0.2811894059181213,0.3030636012554168,0.2575154453516006,0.6197520732879639,0.2059987604618072,0.2230005919933319,0.282873272895813,0.1446919053792953,0.2572302997112274,0.2160644486546516,0.2526744544506073,0.2811894059181213,0.3030636012554168,0.2575154453516006,0.3282647252082825,0.3224168747663498,5,5,5,5,2,4,2,5,1,2,1,5,4,3,5,4,2,72.92,98.68,1.15,99.89,0.0095,99.25,2.4,15.45,0.18,78.37,68.66,61.9
a Chinese person eating Peking duck at West Lake.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits upright on the banks of West Lake, surrounded by willow trees and traditional pagoda-style restaurants, with the misty mountains of Hangzhou rising in the background, delicately wrapping a thin pancake around a slice of crispy-skinned Peking duck, scallions, and hoisin sauce with chopsticks in their right hand.",/workspace/t2v_self/iter_t2v/results/parallel/videos/CHaLpaGVxl0.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2605955839157104,0.2939986705780029,0.3044849157333374,0.2551691651344299,0.6158808708190918,0.2134393721818924,0.2328004717826843,0.3182792067527771,0.1660294324159622,0.2915061235427856,0.220779438316822,0.2605955839157104,0.2939986705780029,0.3044849157333374,0.2551691651344299,0.3118981719017029,0.3304567396640777,5,5,5,3,1,4,1,4,1,1,1,5,5,5,3,4,4,52.33,98.0,1.12,99.84,0.0054,99.24,1.33,16.39,0.71,77.34,65.47,62.0
a Chinese person eating Peking duck at the Potala Palace.,"A Chinese person with a round face, high cheekbones, and dark hair styled in a neat bob, wearing a traditional cheongsam dress with intricate silk embroidery, sits cross-legged on a low stool on the steps of the majestic Potala Palace, surrounded by the snow-capped Himalayas and overlooking the Lhasa valley with its traditional Tibetan prayer flags fluttering in the wind, eating Peking duck by holding a steamed bun in one hand and using chopsticks to delicately wrap slices of crispy-skinned Peking duck, scallions, and hoisin sauce within it.",/workspace/t2v_self/iter_t2v/results/parallel/videos/9V6eBE-2yjQ.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2460449010133743,0.2755085587501525,0.2980806529521942,0.2465303897857666,0.6187374949455261,0.2240552484989166,0.2408010929822922,0.2933658063411712,0.1564456433057785,0.2986362040042877,0.1939245209097862,0.2460449010133743,0.2755085587501525,0.2980806529521942,0.2465303897857666,0.3339368224143982,0.3123841434717178,5,4,1,5,2,1,1,2,1,1,1,5,4,1,5,2,1,66.95,99.17,1.03,99.97,0.0025,99.87,0.33,14.36,0.17,78.06,67.84,65.22
a Chinese person eating mooncakes at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits cross-legged on a stone bench under the crimson walls and golden tiled roofs of the Forbidden City, surrounded by moats and traditional lanterns, delicately unwrapping the golden packaging of a mooncake with their right hand and taking small bites with chopsticks held gently in their left hand.",/workspace/t2v_self/iter_t2v/results/parallel/videos/7Ym_O-VTf2o.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2585166722536087,0.3043180704116821,0.3243385732173919,0.2850600957870483,0.8014506459236145,0.2438406616449356,0.2807462692260742,0.2962339341640472,0.2435638189315795,0.3150938212871551,0.2602537527680397,0.2585166722536087,0.3043180704116821,0.3243385732173919,0.2850600957870483,0.3648154437541961,0.3681603759527206,5,5,5,5,3,5,5,4,5,4,1,5,5,4,5,4,2,47.48,99.47,1.15,99.95,0.0035,99.46,0.58,15.6,0.99,78.47,64.95,64.26
a Chinese person eating mooncakes at West Lake.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits on a stone bench at West Lake, gently picking up a delicate mooncake with chopsticks from a wooden boat docked nearby, surrounded by lush green willow trees and vibrant lotus flowers, and brings it to their nose for a brief sniff before taking a small bite, savoring the flaky crust and sweet fillings while taking in the breathtaking views of West Lake's majestic Three Ponds Mirroring the Moon during a warm autumn sunset.",/workspace/t2v_self/iter_t2v/results/parallel/videos/4rpKRcyrL8c.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2459520608186721,0.2738291323184967,0.2929560244083404,0.2444010436534881,0.6921580672264099,0.2485375791788101,0.2914577722549438,0.3238347768783569,0.2508232802152633,0.3449911117553711,0.2909766510128975,0.2459520608186721,0.2738291323184967,0.2929560244083404,0.2444010436534881,0.2931216776371002,0.3058900862932205,5,5,5,5,1,3,4,3,1,2,1,5,5,5,2,3,1,61.7,99.5,1.14,99.96,0.0041,99.43,1.81,14.37,0.05,77.43,67.09,64.18
a Chinese person eating mooncakes at the Potala Palace.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional cheongsam dress, sits cross-legged on a stone step of the majestic Potala Palace, surrounded by its distinctive red and white walls, delicately unwrapping the golden foil wrapper from a mooncake with their thumb and index finger, then taking small, reverent bites while holding the cake with both hands, as the sun casts a warm glow over the Himalayan mountains in the background.",/workspace/t2v_self/iter_t2v/results/parallel/videos/tmw4bKqIuTY.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2523368269205093,0.2929960250854492,0.3080512940883636,0.2702520191669464,0.7930703043937684,0.2473123908042907,0.28503298163414,0.3142293632030487,0.2429998636245727,0.3640810310840606,0.2917991459369659,0.2523368269205093,0.2929960250854492,0.3080512940883636,0.2702520191669464,0.3604171335697174,0.3476587682962417,5,5,5,5,2,5,5,2,5,3,1,5,5,3,5,4,2,46.67,98.99,1.26,99.93,0.0053,99.14,1.69,17.04,0.11,78.94,64.75,63.3
a Chinese person eating dumplings at the Forbidden City.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional qipao dress, sits with an upright posture under the majestic Meridian Gate, surrounded by crimson walls and golden-tiled roofs that glimmer in the warm sunlight of Beijing's afternoon, within the historic grounds of the Forbidden City, carefully picking up a juicy dumpling from a steamer basket with chopsticks in their right hand, dipping it into a small dish of soy sauce before taking a delicate bite.",/workspace/t2v_self/iter_t2v/results/parallel/videos/Hyx1ua25IQI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2586478054523468,0.2934238612651825,0.322481894493103,0.238342410326004,0.8604901075363159,0.2496908456087112,0.285656327009201,0.3132542490959167,0.2671036660671234,0.3643459439277648,0.2839947432279587,0.2586478054523468,0.2934238612651825,0.322481894493103,0.238342410326004,0.3621117115020752,0.2972088396549225,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,2,63.16,99.02,1.27,99.98,0.0043,99.82,0.79,16.56,0.19,77.71,67.23,64.8
a Chinese person eating dumplings at West Lake.,"A Chinese person with almond-shaped eyes and straight black hair, wearing a traditional qipao dress, sits with an upright posture on the banks of West Lake, surrounded by lush willow trees and majestic pagodas reflected in the serene water, with the misty mountains of Hangzhou rising in the distance, holding chopsticks in their right hand to gently pick up a steaming hot dumpling from the bamboo steamer basket in front of them, before dipping it into a small dish of soy sauce and vinegar on the side.",/workspace/t2v_self/iter_t2v/results/parallel/videos/BoM5Z9QndJc.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows West Lake in China.,0.2561323583126068,0.2893546402454376,0.3047711849212646,0.255888882279396,0.7589061975479126,0.2325171530246734,0.2683052599430084,0.3005304932594299,0.2179628521203994,0.3109077334403992,0.2191223919391632,0.2561323583126068,0.2893546402454376,0.3047711849212646,0.255888882279396,0.308986884355545,0.3075928062200546,5,5,5,5,3,4,5,4,2,2,1,5,5,5,5,5,2,47.94,93.37,1.14,99.78,0.0038,98.84,1.59,16.38,0.23,77.97,64.14,61.21
a Chinese person eating dumplings at the Potala Palace.,"A Chinese person with almond-shaped eyes, high cheekbones, and straight black hair in a neat bob, wearing a traditional qipao dress, sits cross-legged on a stone step of the majestic Potala Palace, surrounded by towering Himalayan mountains and fluttering prayer flags under the bright Tibetan sun, holding a steamer basket with one hand and using chopsticks to delicately pick up a dumpling with the other, bringing it to their mouth for a gentle bite.",/workspace/t2v_self/iter_t2v/results/parallel/videos/aec5uApQpZs.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Potala Palace in China.,0.2520667225122451,0.2942773103713989,0.3274096012115478,0.2780229330062866,0.7905953288078308,0.2580341935157776,0.2982161045074463,0.3316598236560821,0.2281803131103515,0.3710414588451385,0.2689164280891418,0.2520667225122451,0.2942773103713989,0.3274096012115478,0.2780229330062866,0.3640395998954773,0.3734900534152984,5,5,5,5,2,4,5,4,1,2,1,5,5,5,5,5,3,37.15,97.46,1.15,99.98,0.0019,99.79,0.17,16.59,0.42,79.56,63.11,65.43
a Chinese person playing guzheng at the Forbidden City.,"A Chinese woman with long, dark hair styled in a traditional qipao-inspired updo and adorned with jade earrings sits cross-legged on a stone pedestal under the majestic Meridian Gate, playing guzheng with fingers deftly plucking the strings while her other hand presses down on the frets to produce resonant tones, surrounded by crimson walls and imperial yellow roofs that seem to glow in the warm sunlight casting a golden glow over the vast, tranquil courtyards of the Forbidden City.",/workspace/t2v_self/iter_t2v/results/parallel/videos/ZUkwW6gvmJI.mp4,This image belongs to China.,This image shows a Chinese person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Forbidden City in China.,0.2396297127008438,0.2715387463569641,0.3374952554702758,0.2475493967533111,0.7461388587951661,0.2344611406326294,0.2473133623600006,0.3433284819126129,0.2455212593078613,0.380604887008667,0.3010850220918655,0.2396297127008438,0.2715387463569641,0.3374952554702758,0.2475493967533111,0.3736026763916015,0.3245981365442276,5,5,5,5,3,4,4,5,2,3,1,5,5,5,5,5,4,12.09,89.61,1.06,99.93,0.0035,99.22,1.95,18.16,0.02,77.95,58.22,63.84
